user_id,age,gender,relationship_to_receiver,occasion,budget,interests,receiver_personality,receiver_age_group,gift_type,gift_name,product_price,rating,is_top_selling,small_business,relationship_closeness,giver_preference_style,gift_meaningfulness
1,41,Female,Partner,Anniversary,3623,Travel,Emotional,Child,Book,Motivational Book,3864,2,Yes,No,very close,practical,Medium
2,59,Female,Teacher,Valentine's Day,585,Travel,Creative,Teen,Home Decor,Aroma Diffuser,734,4,No,No,distant,luxury,Low
3,46,Male,Family,Valentine's Day,1334,Gaming,Emotional,Senior,Grooming Set,Beard Grooming Kit,1239,4,No,No,close,practical,Medium
4,47,Female,Teacher,Birthday,2399,Music,Creative,Child,Toy,Remote Car,2195,4,Yes,Yes,distant,fun,Medium
5,32,Male,Teacher,Farewell,4646,Gaming,Extrovert,Teen,Electronics,Smart Watch,4657,4,No,No,distant,practical,Low
6,26,Female,Family,Anniversary,4254,Art,Emotional,Child,Book,Self-help Book,3968,5,Yes,No,close,practical,High
7,45,Male,Family,Farewell,4313,Gaming,Introvert,Senior,Personalized Gift,Customized Photo Frame,4466,2,No,No,very close,sentimental,High
8,49,Female,Colleague,Graduation,1298,Books,Extrovert,Adult,Fashion Item,Wrist Watch,1233,2,No,Yes,distant,luxury,Low
9,46,Male,Colleague,Farewell,343,Books,Creative,Adult,Home Decor,Wall Art Frame,526,1,No,No,neutral,luxury,High
10,19,Female,Partner,Farewell,1867,Tech,Emotional,Child,Personalized Gift,Engraved Pen,1931,2,No,No,very close,sentimental,Medium
11,29,Female,Teacher,Valentine's Day,3664,Tech,Introvert,Adult,Electronics,Bluetooth Earbuds,3549,1,Yes,Yes,distant,practical,Low
12,59,Female,Teacher,Valentine's Day,585,Travel,Creative,Teen,Home Decor,Aroma Diffuser,734,4,No,No,distant,luxury,Medium
13,30,Female,Teacher,Farewell,3681,Fitness,Extrovert,Adult,Toy,LEGO Set,3784,2,Yes,No,neutral,fun,Low
14,54,Female,Friend,Anniversary,2077,Art,Introvert,Senior,Book,Motivational Book,2025,2,Yes,Yes,neutral,practical,High
15,58,Female,Teacher,Anniversary,2027,Home Decor,Introvert,Adult,Grooming Set,Beard Grooming Kit,1779,2,Yes,Yes,distant,practical,Low
16,47,Male,Colleague,Anniversary,710,Tech,Emotional,Senior,Fashion Item,Scarf,434,2,Yes,Yes,distant,luxury,Medium
17,22,Female,Teacher,Valentine's Day,452,Music,Emotional,Child,Accessory,Sunglasses,316,2,Yes,Yes,distant,fun,Medium
18,41,Male,Friend,Farewell,367,Travel,Emotional,Senior,Accessory,Bracelet,297,3,No,Yes,neutral,fun,Low
19,45,Female,Colleague,Festival,4554,Music,Emotional,Senior,Toy,Soft Toy,4309,3,No,No,neutral,fun,High
20,19,Male,Friend,Farewell,235,Home Decor,Emotional,Teen,Fashion Item,Wallet,217,1,No,Yes,close,luxury,Low
21,56,Male,Partner,Anniversary,4767,Tech,Creative,Senior,Book,Motivational Book,4860,5,Yes,No,very close,practical,High
22,47,Female,Partner,Valentine's Day,2541,Gaming,Introvert,Child,Personalized Gift,Customized Photo Frame,2602,1,No,Yes,very close,sentimental,High
23,35,Female,Partner,Festival,3518,Home Decor,Practical,Teen,Electronics,Smart Watch,3356,3,No,No,very close,practical,Medium
24,41,Male,Family,Valentine's Day,2206,Fitness,Creative,Adult,Accessory,Cap,2087,4,No,Yes,very close,fun,Medium
25,37,Female,Partner,Farewell,1455,Travel,Practical,Child,Grooming Set,Skincare Kit,1749,3,Yes,Yes,very close,practical,High
26,53,Female,Family,Farewell,2571,Gaming,Creative,Adult,Fashion Item,Stylish T-shirt,2843,5,Yes,No,close,luxury,High
27,60,Female,Friend,Anniversary,2808,Tech,Extrovert,Teen,Accessory,Neck Chain,2800,3,Yes,No,close,fun,High
28,59,Male,Teacher,Anniversary,1244,Tech,Practical,Senior,Toy,Puzzle Game,1541,5,No,Yes,distant,fun,Medium
29,23,Female,Family,Valentine's Day,3852,Fashion,Extrovert,Senior,Accessory,Bracelet,3691,1,No,Yes,very close,fun,Medium
30,40,Female,Colleague,Farewell,2419,Fitness,Extrovert,Teen,Personalized Gift,Name Printed Mug,2496,2,No,Yes,neutral,sentimental,High
31,45,Male,Colleague,Farewell,4373,Travel,Extrovert,Adult,Accessory,Bracelet,4165,3,Yes,No,distant,fun,Low
32,21,Male,Colleague,Graduation,4816,Tech,Emotional,Adult,Electronics,Smart Watch,4569,4,No,Yes,neutral,practical,High
33,49,Female,Friend,Valentine's Day,2200,Art,Creative,Senior,Personalized Gift,Name Printed Mug,2432,4,No,Yes,neutral,sentimental,High
34,23,Female,Family,Graduation,3783,Fashion,Emotional,Teen,Grooming Set,Perfume Set,3775,1,No,No,very close,practical,High
35,18,Female,Partner,Farewell,4531,Books,Emotional,Senior,Electronics,Portable Speaker,4279,1,Yes,No,very close,practical,High
36,55,Female,Colleague,Birthday,343,Gaming,Creative,Adult,Home Decor,Mini Indoor Plant,603,4,Yes,Yes,neutral,luxury,Low
37,20,Female,Colleague,Festival,3803,Books,Creative,Teen,Home Decor,Wall Art Frame,3792,2,Yes,No,neutral,luxury,Medium
38,18,Female,Teacher,Festival,3147,Books,Creative,Senior,Personalized Gift,Name Printed Mug,3377,4,Yes,Yes,neutral,sentimental,Medium
39,22,Female,Family,Birthday,3368,Books,Emotional,Senior,Personalized Gift,Customized Photo Frame,3508,2,Yes,No,close,sentimental,High
40,49,Male,Colleague,Birthday,2109,Fitness,Emotional,Adult,Fashion Item,Scarf,2389,4,No,No,neutral,luxury,High
41,29,Female,Teacher,Graduation,1224,Tech,Emotional,Adult,Accessory,Sunglasses,1222,3,Yes,Yes,distant,fun,Low
42,33,Male,Partner,Festival,4305,Gaming,Introvert,Senior,Grooming Set,Perfume Set,4096,3,Yes,No,very close,practical,High
43,26,Female,Family,Anniversary,3405,Home Decor,Introvert,Senior,Grooming Set,Skincare Kit,3555,1,Yes,Yes,close,practical,High
44,35,Female,Teacher,Anniversary,4972,Tech,Extrovert,Adult,Fashion Item,Wallet,4692,1,Yes,No,distant,luxury,Low
45,47,Male,Colleague,Birthday,3804,Fashion,Extrovert,Senior,Book,Science Guide,4070,4,Yes,No,distant,practical,Low
46,52,Male,Friend,Birthday,3590,Music,Practical,Child,Book,Fiction Novel,3526,5,No,Yes,close,practical,High
47,38,Female,Colleague,Farewell,2507,Music,Introvert,Teen,Fashion Item,Wallet,2456,1,Yes,No,distant,luxury,Low
48,29,Male,Colleague,Birthday,1112,Home Decor,Extrovert,Adult,Electronics,Smart Watch,1068,4,No,Yes,distant,practical,Medium
49,24,Female,Family,Festival,4534,Music,Extrovert,Child,Electronics,Fitness Band,4342,1,No,No,very close,practical,High
50,41,Female,Teacher,Anniversary,619,Travel,Creative,Senior,Electronics,LED Table Lamp,720,4,Yes,No,neutral,practical,High
51,25,Female,Friend,Anniversary,638,Art,Emotional,Child,Electronics,Smart Watch,412,3,No,Yes,neutral,practical,Low
52,37,Female,Partner,Festival,1971,Music,Emotional,Teen,Toy,Puzzle Game,2096,2,Yes,No,very close,fun,High
53,57,Female,Colleague,Anniversary,3598,Travel,Extrovert,Child,Fashion Item,Wrist Watch,3787,4,No,Yes,distant,luxury,Low
54,57,Female,Friend,Anniversary,2849,Home Decor,Practical,Child,Electronics,LED Table Lamp,2802,5,No,Yes,neutral,practical,Medium
55,41,Female,Friend,Valentine's Day,3188,Gaming,Emotional,Adult,Book,Fiction Novel,3200,4,No,Yes,neutral,practical,Low
56,50,Male,Partner,Festival,2073,Tech,Introvert,Child,Book,Self-help Book,2371,3,Yes,Yes,very close,practical,High
57,23,Female,Teacher,Anniversary,1529,Art,Introvert,Adult,Accessory,Neck Chain,1521,5,No,No,distant,fun,Low
58,57,Male,Colleague,Birthday,719,Travel,Extrovert,Teen,Home Decor,Aroma Diffuser,911,5,No,Yes,neutral,luxury,High
59,34,Female,Family,Birthday,3881,Home Decor,Extrovert,Adult,Handmade Craft,Customized Keychain,3867,2,Yes,No,close,sentimental,Medium
60,41,Male,Family,Farewell,1314,Travel,Creative,Teen,Personalized Gift,Customized Photo Frame,1286,2,No,No,close,sentimental,High
61,59,Female,Family,Festival,3771,Books,Practical,Adult,Home Decor,Aroma Diffuser,4023,4,Yes,No,very close,luxury,Medium
62,47,Female,Teacher,Birthday,4632,Fitness,Introvert,Teen,Grooming Set,Beard Grooming Kit,4695,2,Yes,Yes,distant,practical,Low
63,27,Female,Colleague,Valentine's Day,639,Fitness,Emotional,Child,Home Decor,Wall Art Frame,616,2,Yes,Yes,neutral,luxury,High
64,50,Female,Colleague,Anniversary,553,Art,Extrovert,Teen,Accessory,Sunglasses,744,1,No,Yes,distant,fun,Low
65,37,Female,Family,Graduation,3427,Art,Extrovert,Adult,Accessory,Neck Chain,3469,5,No,No,close,fun,Low
66,58,Female,Colleague,Anniversary,1998,Books,Creative,Adult,Handmade Craft,Handmade Greeting Card,2281,4,No,Yes,distant,sentimental,High
67,32,Female,Family,Valentine's Day,2853,Tech,Emotional,Teen,Electronics,Portable Speaker,2773,1,No,No,very close,practical,Medium
68,47,Male,Family,Birthday,1197,Fashion,Practical,Teen,Fashion Item,Stylish T-shirt,1256,2,No,Yes,close,luxury,Medium
69,52,Male,Friend,Anniversary,238,Fitness,Practical,Adult,Book,Self-help Book,202,5,Yes,Yes,neutral,practical,Low
70,50,Female,Partner,Valentine's Day,3768,Tech,Introvert,Senior,Book,Fiction Novel,3558,5,No,Yes,very close,practical,High
71,46,Male,Friend,Valentine's Day,1070,Gaming,Practical,Teen,Home Decor,Mini Indoor Plant,1254,2,Yes,No,neutral,luxury,Low
72,36,Female,Partner,Valentine's Day,2595,Books,Extrovert,Child,Personalized Gift,Engraved Pen,2510,2,No,No,very close,sentimental,High
73,56,Male,Teacher,Valentine's Day,1722,Home Decor,Introvert,Senior,Fashion Item,Sling Bag,1665,4,No,No,distant,luxury,Low
74,19,Female,Colleague,Farewell,1640,Tech,Introvert,Adult,Handmade Craft,Handmade Greeting Card,1497,4,Yes,No,neutral,sentimental,High
75,46,Male,Friend,Valentine's Day,1070,Gaming,Practical,Teen,Home Decor,Mini Indoor Plant,1254,2,Yes,No,close,luxury,Medium
76,38,Male,Colleague,Festival,3504,Home Decor,Extrovert,Senior,Book,Science Guide,3302,2,No,Yes,distant,practical,Low
77,37,Male,Partner,Graduation,2001,Gaming,Practical,Teen,Fashion Item,Sling Bag,2153,4,No,Yes,very close,luxury,Medium
78,34,Female,Colleague,Birthday,2902,Art,Emotional,Adult,Home Decor,Wall Art Frame,2777,3,No,Yes,distant,luxury,Medium
79,43,Female,Teacher,Anniversary,2577,Fitness,Extrovert,Adult,Handmade Craft,Customized Keychain,2523,3,No,Yes,distant,sentimental,Medium
80,48,Female,Family,Festival,2517,Home Decor,Extrovert,Teen,Grooming Set,Beard Grooming Kit,2533,4,No,No,very close,practical,High
81,59,Female,Friend,Valentine's Day,1772,Art,Creative,Teen,Electronics,LED Table Lamp,1944,1,Yes,No,neutral,practical,Low
82,19,Female,Partner,Farewell,1867,Tech,Emotional,Child,Personalized Gift,Engraved Pen,1931,2,No,No,very close,sentimental,Medium
83,24,Male,Family,Valentine's Day,1618,Gaming,Emotional,Adult,Accessory,Bracelet,1443,4,Yes,Yes,very close,fun,High
84,22,Female,Teacher,Festival,4326,Books,Practical,Teen,Home Decor,Aroma Diffuser,4564,2,No,Yes,neutral,luxury,High
85,26,Male,Partner,Birthday,2305,Art,Extrovert,Child,Electronics,Portable Speaker,2174,5,No,Yes,very close,practical,Medium
86,29,Female,Teacher,Valentine's Day,3664,Tech,Introvert,Adult,Electronics,Bluetooth Earbuds,3549,1,Yes,Yes,distant,practical,Low
87,30,Female,Colleague,Graduation,3011,Travel,Emotional,Child,Electronics,Portable Speaker,2747,1,No,Yes,distant,practical,Low
88,46,Male,Partner,Anniversary,550,Gaming,Creative,Child,Book,Fiction Novel,544,4,No,Yes,very close,practical,Medium
89,21,Female,Colleague,Valentine's Day,4415,Fashion,Practical,Child,Handmade Craft,Handmade Greeting Card,4158,5,No,Yes,distant,sentimental,Medium
90,20,Male,Friend,Graduation,644,Home Decor,Introvert,Child,Fashion Item,Scarf,631,2,Yes,No,close,luxury,Low
91,53,Male,Family,Festival,2371,Art,Practical,Child,Accessory,Cap,2660,5,No,No,close,fun,Medium
92,28,Male,Partner,Birthday,4263,Tech,Creative,Senior,Accessory,Bracelet,4381,2,No,Yes,very close,fun,High
93,30,Female,Teacher,Valentine's Day,2571,Music,Extrovert,Child,Electronics,Smart Watch,2779,1,No,No,distant,practical,Low
94,46,Female,Family,Birthday,1670,Home Decor,Emotional,Teen,Electronics,Fitness Band,1938,5,No,No,close,practical,Medium
95,37,Male,Teacher,Anniversary,261,Home Decor,Extrovert,Teen,Electronics,Portable Speaker,222,2,No,Yes,distant,practical,Low
96,47,Female,Colleague,Graduation,1252,Fitness,Creative,Child,Book,Fiction Novel,1382,3,Yes,Yes,distant,practical,Medium
97,30,Male,Teacher,Graduation,1501,Art,Extrovert,Teen,Book,Fiction Novel,1407,5,Yes,No,neutral,practical,Low
98,23,Female,Partner,Anniversary,2297,Tech,Practical,Senior,Handmade Craft,Handcrafted Candle,2422,5,Yes,No,very close,sentimental,High
99,27,Male,Family,Festival,4542,Fashion,Creative,Teen,Book,Fiction Novel,4751,1,No,Yes,close,practical,Medium
100,51,Male,Teacher,Valentine's Day,3476,Home Decor,Emotional,Child,Fashion Item,Wrist Watch,3576,4,Yes,Yes,neutral,luxury,Low
101,19,Female,Friend,Graduation,1620,Art,Practical,Teen,Electronics,Smart Watch,1919,2,No,Yes,neutral,practical,Low
102,47,Male,Family,Birthday,1197,Fashion,Practical,Teen,Fashion Item,Stylish T-shirt,1256,2,No,Yes,very close,luxury,High
103,43,Female,Teacher,Graduation,313,Art,Extrovert,Child,Book,Science Guide,406,2,Yes,Yes,distant,practical,Low
104,23,Female,Friend,Farewell,3195,Art,Practical,Child,Grooming Set,Perfume Set,3054,1,Yes,No,neutral,practical,Low
105,30,Male,Teacher,Graduation,1501,Art,Extrovert,Teen,Book,Fiction Novel,1407,5,Yes,No,distant,practical,Low
106,44,Female,Family,Birthday,1328,Art,Extrovert,Child,Home Decor,Wall Art Frame,1267,1,Yes,Yes,close,luxury,Medium
107,35,Female,Colleague,Birthday,3655,Music,Emotional,Child,Toy,Soft Toy,3902,5,Yes,No,neutral,fun,Low
108,37,Female,Friend,Birthday,1690,Home Decor,Creative,Teen,Toy,LEGO Set,1705,4,Yes,Yes,neutral,fun,Low
109,23,Male,Teacher,Valentine's Day,2932,Books,Practical,Adult,Home Decor,Mini Indoor Plant,3177,3,No,No,distant,luxury,Low
110,52,Female,Family,Farewell,798,Art,Extrovert,Teen,Home Decor,Mini Indoor Plant,591,5,No,No,close,luxury,High
111,27,Female,Friend,Farewell,2881,Fashion,Extrovert,Teen,Fashion Item,Wrist Watch,3057,1,No,Yes,neutral,luxury,Low
112,41,Female,Family,Graduation,3474,Music,Practical,Child,Toy,LEGO Set,3643,2,Yes,Yes,very close,fun,High
113,51,Female,Friend,Farewell,2631,Tech,Extrovert,Senior,Personalized Gift,Engraved Pen,2419,4,No,Yes,close,sentimental,High
114,27,Female,Teacher,Graduation,3015,Books,Practical,Child,Home Decor,Aroma Diffuser,2995,1,Yes,Yes,distant,luxury,Low
115,30,Female,Family,Anniversary,2390,Music,Creative,Child,Toy,Soft Toy,2614,4,Yes,No,close,fun,High
116,53,Female,Partner,Valentine's Day,3179,Travel,Practical,Adult,Book,Fiction Novel,3234,3,Yes,No,very close,practical,Medium
117,29,Female,Friend,Festival,3387,Tech,Emotional,Adult,Book,Fiction Novel,3548,3,No,No,neutral,practical,High
118,56,Female,Partner,Birthday,3039,Gaming,Creative,Teen,Grooming Set,Skincare Kit,2892,1,No,No,very close,practical,Medium
119,47,Female,Colleague,Graduation,4291,Books,Creative,Teen,Grooming Set,Skincare Kit,4576,5,Yes,No,neutral,practical,Medium
120,49,Male,Colleague,Birthday,2109,Fitness,Emotional,Adult,Fashion Item,Scarf,2389,4,No,No,neutral,luxury,High
121,57,Female,Colleague,Valentine's Day,3138,Books,Introvert,Senior,Personalized Gift,Engraved Pen,2975,5,Yes,No,neutral,sentimental,High
122,27,Male,Partner,Festival,766,Fitness,Emotional,Adult,Accessory,Bracelet,640,5,No,No,very close,fun,Medium
123,25,Female,Friend,Anniversary,638,Art,Emotional,Child,Electronics,Smart Watch,412,3,No,Yes,close,practical,Low
124,41,Female,Teacher,Anniversary,3961,Music,Extrovert,Teen,Grooming Set,Skincare Kit,4000,4,No,No,distant,practical,Low
125,30,Female,Teacher,Farewell,423,Gaming,Extrovert,Teen,Book,Science Guide,657,3,No,Yes,neutral,practical,High
126,27,Male,Colleague,Birthday,1524,Tech,Creative,Teen,Personalized Gift,Name Printed Mug,1384,2,Yes,Yes,neutral,sentimental,High
127,35,Female,Family,Farewell,2730,Art,Extrovert,Senior,Fashion Item,Wallet,3020,2,No,Yes,close,luxury,High
128,27,Female,Friend,Valentine's Day,4206,Tech,Extrovert,Child,Home Decor,Wall Art Frame,3976,1,Yes,No,close,luxury,High
129,43,Female,Teacher,Anniversary,2577,Fitness,Extrovert,Adult,Handmade Craft,Customized Keychain,2523,3,No,Yes,distant,sentimental,Medium
130,18,Female,Teacher,Festival,503,Gaming,Introvert,Child,Home Decor,Wall Art Frame,497,1,No,Yes,neutral,luxury,Low
131,58,Male,Partner,Valentine's Day,2467,Gaming,Extrovert,Teen,Grooming Set,Perfume Set,2170,3,Yes,Yes,very close,practical,Medium
132,59,Female,Family,Anniversary,3292,Art,Emotional,Senior,Personalized Gift,Name Printed Mug,3333,1,No,No,very close,sentimental,High
133,35,Male,Colleague,Festival,367,Fitness,Practical,Child,Grooming Set,Perfume Set,446,1,No,No,neutral,practical,Medium
134,48,Female,Friend,Graduation,4234,Books,Extrovert,Teen,Grooming Set,Perfume Set,3971,2,No,Yes,neutral,practical,Medium
135,31,Female,Teacher,Farewell,4928,Home Decor,Emotional,Senior,Accessory,Bracelet,4656,5,Yes,Yes,distant,fun,Low
136,19,Male,Friend,Festival,4680,Home Decor,Emotional,Senior,Personalized Gift,Engraved Pen,4559,1,Yes,No,neutral,sentimental,Medium
